Prognosis,Symptoms
Huntington disease,"antisocial behavior, back mass or lump, congestion in chest, delusions or hallucinations, drainage in throat, elbow swelling, excessive appetite, long menstrual periods, low back swelling, problems during pregnancy, seizures, symptoms of prostate"
West Nile virus,"allergic reaction, emotional symptoms, excessive growth, eyelid swelling, fainting, joint pain, knee cramps or spasms, pain during intercourse, pain during pregnancy, pain of the anus, shortness of breath, wrist lump or mass"
Lymphoma,"fainting, frontal headache, hip weakness, itching of the anus, mouth dryness, mouth pain, muscle cramps, contractures, or spasms, neck cramps or spasms, redness in or around nose, shoulder cramps or spasms, spotting or bleeding during pregnancy, symptoms of the face"
Dermatitis due to sun exposure,"abdominal distention, ache all over, irregular appearing nails, itchy eyelid, knee weakness, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin irritation, skin lesion, skin pain, skin rash, symptoms of prostate"
Injury to internal organ,"abusing alcohol, back mass or lump, blood in stool, frequent menstruation, hot flashes, lump over jaw, pain in testicles, restlessness, retention of urine, seizures, sharp abdominal pain, shoulder weakness"
Scleritis,"abdominal distention, abnormal breathing sounds, chills, eye moves abnormally, foot or toe weakness, hand or finger weakness, lack of growth, pain during intercourse, pain during pregnancy, sore throat, symptoms of bladder, vaginal dryness"
Pterygium,"ache all over, diminished hearing, excessive urination at night, eye moves abnormally, eyelid retracted, foot or toe weakness, irregular appearing nails, irritable infant, lack of growth, pain during pregnancy, sore throat, symptoms of bladder"
Fungal infection of the skin,"abdominal distention, ache all over, dry lips, involuntary urination, irregular appearing nails, itching of scrotum, itchy eyelid, sinus congestion, skin irritation, skin pain, skin rash, tongue pain"
Insulin overdose,"depression, diaper rash, early or late onset of menopause, elbow swelling, elbow weakness, excessive appetite, feeling hot, low back swelling, muscle weakness, toothache, warts, wrist swelling"
Syndrome of inappropriate secretion of ADH (SIADH),"cramps and spasms, disturbance of smell or taste, eye redness, feeling hot and cold, feet turned in, hand or finger weakness, nasal congestion, neck mass, shoulder lump or mass, shoulder stiffness or tightness, vulvar irritation, warts"
Premenstrual tension syndrome,"back mass or lump, bumps on penis, depression, hand or finger weakness, heartburn, lip swelling, low urine output, pain or soreness of breast, paresthesia, premature ejaculation, underweight, vaginal redness"
Orbital cellulitis,"difficulty speaking, diminished hearing, eye moves abnormally, eyelid retracted, eyelid swelling, feet turned in, itching of scrotum, neck stiffness or tightness, pain during pregnancy, penis redness, swollen abdomen, symptoms of bladder"
Injury to the leg,"allergic reaction, ankle stiffness or tightness, foot or toe lump or mass, foot or toe stiffness or tightness, increased heart rate, involuntary urination, knee lump or mass, knee pain, knee stiffness or tightness, leg lump or mass, leg stiffness or tightness, problems during pregnancy"
Hepatic encephalopathy,"absence of menstruation, depression, drainage in throat, facial pain, fainting, fluid in ear, penis redness, problems during pregnancy, scanty menstrual flow, seizures, sharp chest pain, warts"
Bone cancer,"abusing alcohol, arm cramps or spasms, back mass or lump, fainting, groin pain, jaw swelling, leg lump or mass, low back cramps or spasms, muscle cramps, contractures, or spasms, penis redness, problems during pregnancy, retention of urine"
Leishmaniasis,"allergic reaction, emotional symptoms, excessive growth, eyelid swelling, fainting, joint pain, knee cramps or spasms, pain during intercourse, pain during pregnancy, pain of the anus, shortness of breath, wrist lump or mass"
Chagas disease,"allergic reaction, emotional symptoms, excessive growth, eyelid swelling, fainting, joint pain, knee cramps or spasms, pain during intercourse, pain during pregnancy, pain of the anus, shortness of breath, wrist lump or mass"
Syringomyelia,"arm pain, back mass or lump, facial pain, foot or toe lump or mass, hand or finger stiffness or tightness, hand or finger weakness, leg swelling, neck mass, pain of the anus, shoulder lump or mass, shoulder stiffness or tightness, shoulder weakness"
Pulmonary fibrosis,"changes in stool appearance, coryza, cough, diarrhea, facial pain, feet turned in, heavy menstrual flow, hot flashes, irritable infant, pallor, sharp abdominal pain, sharp chest pain"
Mitral valve disease,"changes in stool appearance, disturbance of smell or taste, double vision, fainting, incontinence of stool, irregular belly button, neck weakness, pallor, sharp abdominal pain, sharp chest pain, suprapubic pain, weakness"
Parkinson disease,"abnormal breathing sounds, difficulty in swallowing, discharge in stools, disturbance of smell or taste, fatigue, flushing, leg pain, leg swelling, muscle pain, problems during pregnancy, spotting or bleeding during pregnancy, warts"
Gout,"allergic reaction, ankle stiffness or tightness, foot or toe lump or mass, foot or toe stiffness or tightness, hand or finger lump or mass, hand or finger stiffness or tightness, jaw swelling, knee lump or mass, knee stiffness or tightness, leg stiffness or tightness, wrist lump or mass, wrist stiffness or tightness"
Otitis media,"constipation, coryza, difficulty speaking, dry or flaky scalp, feet turned in, flu-like syndrome, nailbiting, peripheral edema, problems with shape or size of breast, rectal bleeding, sore in nose, vaginal redness"
Drug abuse (opioids),"absence of menstruation, ankle weakness, antisocial behavior, decreased heart rate, delusions or hallucinations, depression, drainage in throat, emotional symptoms, infrequent menstruation, low back weakness, regurgitation, symptoms of the scrotum and testes"
Fracture of the shoulder,"arm lump or mass, arm pain, arm swelling, blood in urine, change in skin mole size or color, fluid in ear, mass in scrotum, neck stiffness or tightness, shoulder lump or mass, shoulder pain, shoulder stiffness or tightness, spotting or bleeding during pregnancy"
Acute kidney injury,"blood in stool, disturbance of smell or taste, joint swelling, nasal congestion, penis redness, restlessness, seizures, sharp abdominal pain, sharp chest pain, symptoms of the face, vaginal redness, warts"
Threatened pregnancy,"back mass or lump, blindness, coughing up sputum, insomnia, low urine output, pain during intercourse, paresthesia, premenstrual tension or irritability, seizures, spots or clouds in vision, upper abdominal pain, vaginal bleeding after menopause"
Intracranial abscess,"back mass or lump, depression, fainting, feet turned in, hand or finger weakness, leg lump or mass, low back cramps or spasms, neck mass, scanty menstrual flow, sharp abdominal pain, sleepwalking, warts"
Gum disease,"bleeding from eye, dry or flaky scalp, eyelid swelling, feet turned in, groin pain, jaw pain, lip sore, mouth dryness, mouth pain, pain in eye, penis redness, too little hair"
Gastrointestinal hemorrhage,"blood clots during menstrual periods, change in skin mole size or color, diaper rash, disturbance of smell or taste, facial pain, mass or swelling around the anus, nasal congestion, recent weight loss, seizures, vaginal redness, vomiting, warts"
Seborrheic dermatitis,"abdominal distention, ache all over, dry lips, irregular appearing nails, itching of scrotum, itchy eyelid, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin irritation, skin pain, symptoms of prostate, tongue pain"
Drug abuse (methamphetamine),"absence of menstruation, antisocial behavior, decreased heart rate, delusions or hallucinations, depression, drainage in throat, fatigue, feeling hot and cold, hoarse voice, pain during intercourse, pallor, sharp chest pain"
Torticollis,"abnormal breathing sounds, arm lump or mass, back mass or lump, coughing up sputum, hand or finger weakness, leg swelling, nausea, neck mass, neck pain, shoulder cramps or spasms, shoulder lump or mass, throat redness"
Poisoning due to antihypertensives,"acne or pimples, depression, diaper rash, disturbance of smell or taste, feeling cold, flushing, itching of scrotum, nasal congestion, seizures, skin pain, swollen or red tonsils, warts"
Tension headache,"antisocial behavior, arm weakness, bladder mass, chest tightness, disturbance of smell or taste, hand or finger weakness, nasal congestion, neck mass, neck pain, pain or soreness of breast, painful menstruation, symptoms of prostate"
Alcohol intoxication,"abnormal breathing sounds, absence of menstruation, antisocial behavior, decreased heart rate, delusions or hallucinations, depression, facial pain, nasal congestion, problems during pregnancy, seizures, sharp abdominal pain, vaginal redness"
Scurvy,"back weakness, excessive appetite, eye redness, joint pain, knee cramps or spasms, loss of sensation, nausea, pelvic pain, seizures, shoulder stiffness or tightness, skin lesion, vulvar irritation"
Narcolepsy,"abnormal appearing tongue, abnormal breathing sounds, anxiety and nervousness, decreased heart rate, discharge in stools, fainting, hand or finger weakness, infrequent menstruation, sharp chest pain, skin swelling, symptoms of the scrotum and testes, weakness"
Uterine cancer,"coughing up sputum, flushing, frontal headache, groin pain, heartburn, hostile behavior, insomnia, muscle cramps, contractures, or spasms, paresthesia, tongue bleeding, underweight, uterine contractions"
Dry eye of unknown cause,"abnormal involuntary movements, diminished hearing, dizziness, excessive urination at night, eye moves abnormally, foot or toe weakness, irritable infant, lack of growth, pain during pregnancy, sore throat, symptoms of bladder, wheezing"
Fungal infection of the hair,"abdominal distention, ache all over, irregular appearing nails, itching of scrotum, itchy eyelid, paresthesia, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin growth, skin irritation, skin pain, skin rash"
Tooth abscess,"eyelid swelling, fluid in ear, groin pain, jaw pain, lip sore, mouth dryness, neck stiffness or tightness, pain in eye, penis redness, skin rash, symptoms of prostate, too little hair"
Leptospirosis,"allergic reaction, emotional symptoms, excessive growth, eyelid swelling, fainting, joint pain, knee cramps or spasms, pain during intercourse, pain during pregnancy, pain of the anus, shortness of breath, wrist lump or mass"
Envenomation from spider or animal bite,"abdominal distention, acne or pimples, arm stiffness or tightness, fluid in ear, foot or toe stiffness or tightness, hand or finger stiffness or tightness, itching of scrotum, leg stiffness or tightness, palpitations, penis redness, skin pain, skin rash"
VACTERL syndrome,"bones are painful, cramps and spasms, early or late onset of menopause, elbow swelling, elbow weakness, excessive appetite, feeling hot, low urine output, muscle weakness, redness in or around nose, stuttering or stammering, wrist swelling"
Vertebrobasilar insufficiency,"arm lump or mass, back mass or lump, disturbance of smell or taste, foot or toe swelling, hand or finger weakness, leg lump or mass, palpitations, problems during pregnancy, sharp abdominal pain, suprapubic pain, vaginal redness, warts"
Rectal disorder,"blood clots during menstrual periods, bumps on penis, change in skin mole size or color, congestion in chest, coughing up sputum, diaper rash, headache, itching of skin, mass or swelling around the anus, pain in testicles, recent weight loss, seizures"
Atonic bladder,"back swelling, blood in stool, early or late onset of menopause, elbow weakness, frequent menstruation, hysterical behavior, intermenstrual bleeding, restlessness, stuttering or stammering, swollen tongue, symptoms of infants, wrist swelling"
Benign paroxysmal positional vertical (BPPV),"difficulty speaking, disturbance of smell or taste, facial pain, feeling hot and cold, frequent urination, hand or finger weakness, irregular belly button, nasal congestion, problems during pregnancy, rib pain, vaginal redness, warts"
Blepharospasm,"abnormal involuntary movements, arm swelling, bleeding or discharge from nipple, coughing up sputum, diminished hearing, eye deviation, eye strain, hand or finger weakness, leg swelling, low back swelling, mouth ulcer, obsessions and compulsions"
Sarcoidosis,"changes in stool appearance, coryza, eyelid swelling, fainting, hand or finger weakness, muscle cramps, contractures, or spasms, pain during pregnancy, palpitations, penis redness, sharp abdominal pain, sharp chest pain, weight gain"
Trigger finger (finger disorder),"back pain, bladder mass, blood in urine, gum pain, hand or finger lump or mass, hand or finger pain, hand or finger stiffness or tightness, muscle pain, palpitations, shoulder pain, skin oiliness, wrist lump or mass"
Stye,"abdominal distention, excessive urination at night, eye moves abnormally, eye strain, eyelid retracted, irritable infant, lack of growth, mass on ear, pain during pregnancy, skin rash, swollen abdomen, symptoms of bladder"
Osteochondroma,"abdominal distention, allergic reaction, foot or toe lump or mass, hand or finger cramps or spasms, itching of scrotum, knee lump or mass, lip sore, low urine output, paresthesia, shoulder lump or mass, skin dryness, peeling, scaliness, or roughness, skin irritation"
Cushing syndrome,"bedwetting, decreased appetite, early or late onset of menopause, elbow swelling, elbow weakness, infertility, itchiness of eye, low back swelling, muscle stiffness or tightness, muscle weakness, shoulder lump or mass, weakness"
Typhoid fever,"allergic reaction, emotional symptoms, eyelid swelling, fainting, feet turned in, joint pain, knee cramps or spasms, pain during intercourse, pain during pregnancy, pain of the anus, shortness of breath, wrist lump or mass"
Vitreous degeneration,"bleeding from ear, bleeding or discharge from nipple, diminished hearing, dizziness, excessive urination at night, eye moves abnormally, foot or toe weakness, irritable infant, lack of growth, pain during pregnancy, sore throat, symptoms of bladder"
Atrophic skin condition,"abdominal distention, ache all over, itching of scrotum, lip sore, skin dryness, peeling, scaliness, or roughness, skin growth, skin irritation, skin lesion, skin rash, tongue pain, vulvar sore, white discharge from eye"
Aspergillosis,"difficulty speaking, excessive appetite, knee cramps or spasms, loss of sensation, muscle weakness, nausea, seizures, sharp chest pain, shoulder stiffness or tightness, vomiting, vulvar irritation, wrist swelling"
Trichinosis,"back weakness, excessive appetite, knee cramps or spasms, loss of sensation, nailbiting, nausea, painful sinuses, pelvic pain, seizures, shoulder stiffness or tightness, skin pain, vulvar irritation"
Whooping cough,"constipation, coryza, difficulty eating, feet turned in, hand or finger weakness, irregular heartbeat, nailbiting, seizures, sharp chest pain, side pain, sore in nose, vaginal redness"
Pick disease,"allergic reaction, emotional symptoms, excessive growth, eyelid swelling, fainting, joint pain, knee cramps or spasms, pain during intercourse, pain during pregnancy, pain of the anus, shortness of breath, wrist lump or mass"
Oral mucosal lesion,"bleeding gums, coryza, dry or flaky scalp, eyelid swelling, feet turned in, groin pain, lip sore, mouth dryness, mouth pain, sore in nose, tongue bleeding, too little hair"
Intracerebral hemorrhage,"bleeding or discharge from nipple, depression, diminished hearing, disturbance of smell or taste, flushing, hand or finger weakness, nasal congestion, problems during pregnancy, scanty menstrual flow, sleepwalking, vaginal redness, warts"
Alzheimer disease,"decreased heart rate, delusions or hallucinations, depression, difficulty in swallowing, discharge in stools, excessive urination at night, fatigue, hoarse voice, irregular appearing nails, mouth ulcer, problems during pregnancy, regurgitation"
Vaginismus,"frequent menstruation, heartburn, hostile behavior, low urine output, obsessions and compulsions, pain or soreness of breast, paresthesia, seizures, stuttering or stammering, vaginal bleeding after menopause, vaginal discharge, vaginal itching"
Systemic lupus erythematosis (SLE),"abnormal size or shape of ear, abusing alcohol, blood in urine, flushing, hand or finger pain, jaw swelling, joint stiffness or tightness, knee lump or mass, leg stiffness or tightness, muscle cramps, contractures, or spasms, sharp abdominal pain, tongue pain"
Premature ovarian failure,"abnormal size or shape of ear, dry lips, heartburn, hostile behavior, infant spitting up, insomnia, knee weakness, obsessions and compulsions, paresthesia, tongue pain, underweight, weakness"
Thoracic outlet syndrome,"arm lump or mass, back mass or lump, cross-eyed, hand or finger lump or mass, hand or finger swelling, long menstrual periods, neck mass, palpitations, sharp abdominal pain, shoulder lump or mass, shoulder swelling, warts"
Ganglion cyst,"foot or toe lump or mass, hand or finger cramps or spasms, hand or finger lump or mass, knee cramps or spasms, knee lump or mass, knee stiffness or tightness, leg lump or mass, leg stiffness or tightness, skin dryness, peeling, scaliness, or roughness, wrinkles on skin, wrist lump or mass, wrist stiffness or tightness"
Crohn disease,"blood clots during menstrual periods, bumps on penis, diaper rash, headache, jaw swelling, nasal congestion, pain in testicles, recent weight loss, redness in or around nose, seizures, stiffness all over, vaginal redness"
Postoperative infection,"abdominal distention, feet turned in, flu-like syndrome, fluid in ear, irregular appearing scalp, jaw pain, leg stiffness or tightness, pus in urine, seizures, skin oiliness, skin on head or neck looks infected, skin rash"
Folate deficiency,"decreased heart rate, diarrhea, fainting, incontinence of stool, jaw swelling, mass or swelling around the anus, premenstrual tension or irritability, seizures, sharp abdominal pain, sharp chest pain, vomiting, warts"
Fluid overload,"coryza, diarrhea, fluid in ear, hand or finger stiffness or tightness, leg stiffness or tightness, nasal congestion, penis redness, seizures, sharp abdominal pain, sharp chest pain, vaginal redness, warts"
Atrial flutter,"changes in stool appearance, diarrhea, disturbance of smell or taste, fainting, feeling cold, frequent menstruation, incontinence of stool, irregular belly button, pallor, sharp abdominal pain, sharp chest pain, swollen eye"
Skin disorder,"abdominal distention, ache all over, irregular appearing nails, itching of scrotum, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin growth, skin irritation, skin lesion, skin pain, skin rash, vulvar sore"
Tooth disorder,"bleeding from eye, dry or flaky scalp, eyelid swelling, groin pain, hand or finger weakness, jaw pain, mouth dryness, mouth pain, pain in eye, penis redness, swollen eye, too little hair"
Heart attack,"arm lump or mass, burning abdominal pain, changes in stool appearance, facial pain, headache, incontinence of stool, irregular belly button, lower abdominal pain, nasal congestion, sharp abdominal pain, sharp chest pain, suprapubic pain"
Fracture of the leg,"allergic reaction, ankle stiffness or tightness, hip lump or mass, hip pain, knee lump or mass, knee stiffness or tightness, knee swelling, leg lump or mass, leg pain, leg stiffness or tightness, leg swelling, problems during pregnancy"
Oral thrush (yeast infection),"abnormal appearing skin, congestion in chest, coryza, depressive or psychotic symptoms, feet turned in, irregular heartbeat, mouth dryness, mouth pain, nailbiting, skin pain, sore in nose, tongue bleeding"
Pityriasis rosea,"abdominal distention, ache all over, dry lips, excessive anger, fatigue, itching of scrotum, skin dryness, peeling, scaliness, or roughness, skin pain, skin rash, vaginal dryness, vulvar sore, weakness"
Allergy to animals,"abdominal distention, ache all over, acne or pimples, coryza, cramps and spasms, feet turned in, irritable infant, nailbiting, penis redness, slurring words, sore in nose, wrist swelling"
Orthostatic hypotension,"abnormal breathing sounds, disturbance of smell or taste, facial pain, fainting, feeling hot and cold, hand or finger weakness, hot flashes, incontinence of stool, irregular belly button, pallor, sharp abdominal pain, warts"
Obstructive sleep apnea (OSA),"abnormal appearing tongue, abnormal breathing sounds, anxiety and nervousness, diarrhea, difficulty eating, fainting, infrequent menstruation, melena, sharp chest pain, skin swelling, suprapubic pain, weakness"
Hypokalemia,"diaper rash, disturbance of smell or taste, facial pain, feet turned in, hand or finger weakness, long menstrual periods, nasal congestion, seizures, sharp abdominal pain, sharp chest pain, vaginal redness, warts"
Psoriasis,"abdominal distention, ache all over, irregular appearing nails, itching of scrotum, itchy eyelid, jaw swelling, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin irritation, skin lesion, skin pain, skin rash"
Intussusception,"blood clots during menstrual periods, congestion in chest, cramps and spasms, diaper rash, elbow weakness, excessive appetite, itchy ear(s), nasal congestion, redness in or around nose, seizures, unwanted hair, vaginal redness"
Cervicitis,"bumps on penis, coughing up sputum, low urine output, nasal congestion, pain during intercourse, painful sinuses, paresthesia, seizures, stuttering or stammering, vaginal bleeding after menopause, vaginal dryness, vaginal itching"
Abscess of the pharynx,"acne or pimples, coryza, cough, difficulty eating, dry or flaky scalp, feeling hot and cold, feet turned in, hand or finger weakness, nailbiting, sharp abdominal pain, sore in nose, throat redness"
Primary thrombocythemia,"absence of menstruation, disturbance of smell or taste, fainting, fever, fluid in ear, frequent menstruation, jaw swelling, muscle cramps, contractures, or spasms, pain in testicles, recent weight loss, suprapubic pain, symptoms of bladder"
Arthritis of the hip,"abusing alcohol, back mass or lump, groin mass, hip lump or mass, hip pain, jaw swelling, knee lump or mass, leg lump or mass, low back cramps or spasms, lower abdominal pain, paresthesia, problems during pregnancy"
Hypernatremia,"abusing alcohol, anxiety and nervousness, depression, diarrhea, facial pain, feet turned in, fluid in ear, heartburn, problems during pregnancy, sharp chest pain, vaginal redness, warts"
Sensorineural hearing loss,"difficulty speaking, disturbance of smell or taste, dry or flaky scalp, flu-like syndrome, hip weakness, itching of the anus, nailbiting, neck cramps or spasms, peripheral edema, rectal bleeding, rib pain, thirst"
Osteoporosis,"back mass or lump, blood in urine, discharge in stools, ear pain, excessive growth, hip lump or mass, jaw swelling, lacrimation, low back pain, mass or swelling around the anus, mouth ulcer, stiffness all over"
Ileus,"bumps on penis, congestion in chest, diaper rash, hand or finger weakness, low urine output, nasal congestion, pain in testicles, seizures, shoulder weakness, stiffness all over, unwanted hair, vaginal redness"
Sickle cell crisis,"abusing alcohol, arm lump or mass, back mass or lump, bumps on penis, feet turned in, hip lump or mass, knee lump or mass, leg lump or mass, low back cramps or spasms, seizures, sharp abdominal pain, vaginal redness"
Urethritis,"blood in stool, frequent menstruation, itching of scrotum, pain in gums, painful sinuses, paresthesia, pelvic pressure, penile discharge, restlessness, seizures, stuttering or stammering, vaginal dryness"
Prostatitis,"back mass or lump, blood in stool, chest tightness, feet turned in, frequent menstruation, hysterical behavior, low urine output, pain in gums, painful sinuses, restlessness, seizures, symptoms of infants"
Otitis externa (swimmer's ear),"bladder mass, coryza, difficulty speaking, dry or flaky scalp, eyelid swelling, feet turned in, flu-like syndrome, itching of the anus, peripheral edema, rectal bleeding, rib pain, sore in nose"
Poisoning due to anticonvulsants,"delusions or hallucinations, difficulty in swallowing, disturbance of smell or taste, feeling hot and cold, hand or finger weakness, itching of scrotum, pain during pregnancy, problems during pregnancy, rib pain, scanty menstrual flow, sleepwalking, vaginal redness"
Testicular torsion,"back mass or lump, bumps on penis, early or late onset of menopause, elbow swelling, elbow weakness, itchiness of eye, muscle stiffness or tightness, muscle weakness, pain in gums, seizures, sweating, symptoms of the kidneys"
Tricuspid valve disease,"antisocial behavior, back mass or lump, cramps and spasms, double vision, early or late onset of menopause, elbow swelling, elbow weakness, excessive appetite, hip pain, itchy ear(s), muscle weakness, wrist swelling"
Urethral stricture,"blood in stool, excessive growth, frequent menstruation, intermenstrual bleeding, painful sinuses, penis pain, restlessness, stuttering or stammering, sweating, swollen tongue, symptoms of infants, symptoms of the kidneys"
Vitamin D deficiency,"arm pain, back pain, fainting, feeling cold, hostile behavior, infertility, jaw swelling, mass or swelling around the anus, melena, skin growth, slurring words, weakness"
Hydatidiform mole,"bumps on penis, diminished hearing, disturbance of smell or taste, low back cramps or spasms, nasal congestion, pain during intercourse, paresthesia, premenstrual tension or irritability, seizures, shoulder weakness, spots or clouds in vision, vaginal redness"
Pain disorder affecting the neck,"arm lump or mass, back mass or lump, discharge in stools, disturbance of smell or taste, hand or finger weakness, infrequent menstruation, long menstrual periods, low back cramps or spasms, neck mass, neck pain, palpitations, shoulder lump or mass"
Pelvic fistula,"back mass or lump, disturbance of smell or taste, early or late onset of menopause, elbow swelling, facial pain, headache, itchiness of eye, muscle stiffness or tightness, muscle weakness, pus in urine, recent weight loss, vaginal bleeding after menopause"
Acute bronchiolitis,"constipation, coryza, cross-eyed, diarrhea, feet turned in, hot flashes, irregular heartbeat, nailbiting, problems with shape or size of breast, sharp chest pain, vaginal redness, weight gain"
Presbyopia,"abnormal involuntary movements, difficulty in swallowing, diminished hearing, excessive urination at night, eye moves abnormally, foot or toe weakness, irritable infant, lack of growth, mass on ear, pain during pregnancy, sore throat, symptoms of bladder"
Dementia,"abnormal breathing sounds, decreased heart rate, depression, difficulty in swallowing, discharge in stools, disturbance of memory, disturbance of smell or taste, flushing, hoarse voice, infrequent menstruation, palpitations, problems during pregnancy"
Insect bite,"abdominal distention, arm stiffness or tightness, fluid in ear, hand or finger stiffness or tightness, itching of scrotum, leg stiffness or tightness, lip sore, penis redness, skin irritation, skin pain, skin rash, swollen abdomen"
Paroxysmal ventricular tachycardia,"changes in stool appearance, decreased appetite, disturbance of smell or taste, facial pain, fainting, incontinence of stool, irregular belly button, pallor, sharp abdominal pain, sharp chest pain, sleepwalking, weakness"
Congenital heart defect,"arm stiffness or tightness, cramps and spasms, decreased appetite, excessive anger, hand or finger pain, increased heart rate, irregular appearing scalp, knee weakness, lump over jaw, nausea, sharp abdominal pain, sleepwalking"
Connective tissue disorder,"abusing alcohol, arm lump or mass, difficulty eating, fainting, feeling hot and cold, feet turned in, foot or toe lump or mass, hand or finger weakness, jaw swelling, lump over jaw, palpitations, skin pain"
Foreign body in the eye,"abnormal involuntary movements, excessive urination at night, eye moves abnormally, eye strain, eyelid retracted, foot or toe weakness, irritable infant, lack of growth, pain during pregnancy, swollen abdomen, symptoms of bladder, wheezing"
Poisoning due to gas,"coryza, diarrhea, disturbance of smell or taste, double vision, feet turned in, hand or finger weakness, nailbiting, nasal congestion, sharp abdominal pain, sharp chest pain, sore in nose, weight gain"
Pyogenic skin infection,"abdominal distention, foot or toe lump or mass, foot or toe stiffness or tightness, hand or finger lump or mass, hand or finger stiffness or tightness, leg lump or mass, leg stiffness or tightness, penis redness, skin irritation, skin on head or neck looks infected, skin pain, skin rash"
Endometrial hyperplasia,"abnormal movement of eyelid, back swelling, early or late onset of menopause, heartburn, intermenstrual bleeding, low back swelling, muscle stiffness or tightness, paresthesia, pus draining from ear, underweight, uterine contractions, vaginal bleeding after menopause"
Acanthosis nigricans,"ache all over, acne or pimples, anxiety and nervousness, fluid in ear, infant spitting up, pain of the anus, skin dryness, peeling, scaliness, or roughness, skin irritation, skin lesion, unusual color or odor to urine, vulvar sore, weakness"
Central atherosclerosis,"blood in stool, excessive growth, fainting, gum pain, incontinence of stool, irregular belly button, jaw swelling, muscle cramps, contractures, or spasms, penis redness, sharp chest pain, symptoms of the face, weakness"
Viral exanthem,"abdominal distention, coryza, cross-eyed, feet turned in, flatulence, itching of scrotum, leg weakness, nailbiting, problems with shape or size of breast, skin pain, skin rash, vaginal redness"
Blastomycosis,"allergic reaction, emotional symptoms, excessive growth, eyelid swelling, fainting, joint pain, knee cramps or spasms, pain during intercourse, pain during pregnancy, pain of the anus, shortness of breath, wrist lump or mass"
Noninfectious gastroenteritis,"blood clots during menstrual periods, bumps on penis, chest tightness, cross-eyed, diaper rash, feet turned in, fluid in ear, hand or finger weakness, nasal congestion, recent weight loss, seizures, vaginal redness"
Benign prostatic hyperplasia (BPH),"blood in stool, excessive growth, frequent menstruation, hemoptysis, hysterical behavior, intermenstrual bleeding, low self-esteem, pain in gums, restlessness, sweating, swollen tongue, symptoms of infants"
Menopause,"abnormal size or shape of ear, heartburn, hostile behavior, intermenstrual bleeding, lip swelling, loss of sensation, paresthesia, suprapubic pain, underweight, vaginal discharge, vaginal dryness, weakness"
Primary immunodeficiency,"arm pain, coryza, cross-eyed, fainting, frequent urination, jaw swelling, mouth pain, painful menstruation, skin growth, swollen or red tonsils, symptoms of the scrotum and testes, unwanted hair"
Cataract,"abnormal involuntary movements, bleeding or discharge from nipple, chills, diminished hearing, dizziness, excessive urination at night, foot or toe weakness, irritable infant, lack of growth, pain during pregnancy, sore throat, symptoms of bladder"
Spinal stenosis,"arm lump or mass, back mass or lump, hand or finger weakness, hip lump or mass, leg lump or mass, long menstrual periods, low back cramps or spasms, lower abdominal pain, neck mass, palpitations, problems during pregnancy, shoulder lump or mass"
Intestinal obstruction,"bumps on penis, congestion in chest, diaper rash, impotence, nasal congestion, pain in testicles, restlessness, seizures, stiffness all over, vaginal dryness, vaginal redness, vomiting"
Heart contusion,"anxiety and nervousness, cramps and spasms, delusions or hallucinations, early or late onset of menopause, elbow swelling, excessive appetite, facial pain, hip pain, itchy ear(s), muscle weakness, sharp abdominal pain, wrist swelling"
Congenital malformation syndrome,"decreased heart rate, difficulty breathing, difficulty speaking, fluid in ear, groin mass, groin pain, knee weakness, leg pain, retention of urine, rib pain, scanty menstrual flow, symptoms of the face"
Sporotrichosis,"allergic reaction, emotional symptoms, eyelid swelling, joint pain, knee cramps or spasms, knee lump or mass, knee stiffness or tightness, pain during intercourse, pain during pregnancy, pain of the anus, shortness of breath, wrist lump or mass"
Lymphangitis,"abdominal distention, arm lump or mass, eyelid swelling, flatulence, foot or toe cramps or spasms, foot or toe lump or mass, neck mass, neck stiffness or tightness, skin growth, skin oiliness, skin on arm or hand looks infected, skin on head or neck looks infected"
Wernicke Korsakoff syndrome,"absence of menstruation, antisocial behavior, arm lump or mass, decreased heart rate, depression, discharge in stools, facial pain, hand or finger weakness, hoarse voice, leg lump or mass, palpitations, vomiting"
Intestinal disease,"bumps on penis, congestion in chest, diaper rash, facial pain, nasal congestion, recent weight loss, redness in or around nose, seizures, sharp abdominal pain, unwanted hair, vaginal redness, warts"
Acute bronchitis,"cloudy eye, constipation, coryza, cough, diarrhea, feet turned in, hand or finger weakness, nailbiting, sharp abdominal pain, sharp chest pain, sore in nose, weight gain"
Persistent vomiting of unknown cause,"abnormal breathing sounds, coughing up sputum, cross-eyed, diaper rash, disturbance of smell or taste, feet turned in, hand or finger weakness, nasal congestion, premenstrual tension or irritability, seizures, vaginal redness, vomiting"
Myocarditis,"abusing alcohol, changes in stool appearance, coryza, cough, diaper rash, diarrhea, disturbance of smell or taste, feet turned in, hand or finger weakness, pallor, sharp abdominal pain, warts"
Ischemic heart disease,"changes in stool appearance, diarrhea, disturbance of smell or taste, fainting, incontinence of stool, lump over jaw, muscle cramps, contractures, or spasms, pallor, penis redness, sharp abdominal pain, sharp chest pain, thirst"
